time_ms,t1_c,t2_c,pwm1,pwm2
35,25.45,25.52,0,0
2004,25.45,25.63,225,0
6004,25.41,25.56,225,0
8004,25.21,25.63,225,0
10004,25.19,25.56,225,0
12004,25.39,25.65,225,0
14004,27.09,25.63,225,0
16004,24.86,25.63,225,0
18004,25.61,25.58,225,0
20004,25.65,25.63,225,0
22004,25.80,25.67,225,0
24004,25.54,25.67,225,0
26004,26.18,25.67,225,0
28004,26.16,25.63,225,0
30004,25.78,25.74,225,0
32004,26.05,25.65,225,0
34004,27.05,25.76,225,0
36004,26.38,25.61,225,0
38004,27.27,25.72,225,0
40004,27.52,25.74,225,0
42004,27.83,25.80,225,0
44004,27.97,25.67,225,0
46004,28.28,25.80,0,0
48004,28.49,25.80,0,0
50004,28.76,25.83,0,0
52004,29.05,25.87,0,0
54004,29.40,25.94,0,0
56004,29.42,25.92,0,0
58004,29.83,26.00,0,0
60004,29.92,26.07,0,0
62004,30.08,26.14,0,0
64004,30.27,26.18,0,0
66004,30.36,26.31,0,0
68004,30.52,26.31,0,0
70004,30.66,26.40,225,0
72004,30.38,26.56,225,0
74004,30.99,26.67,225,0
76004,33.69,26.65,225,0
78004,31.10,26.67,225,0
80004,31.10,26.85,225,0
82004,30.52,26.94,225,0
84004,30.11,26.98,225,0
86004,31.52,27.05,225,0
88004,31.64,27.18,225,0
90004,31.69,27.23,225,0
92004,31.83,27.29,225,0
94004,32.16,27.45,225,0
96004,32.25,27.41,225,0
98004,32.42,27.63,225,0
100004,31.20,27.59,225,0
102004,32.82,27.74,225,0
104004,32.99,27.77,225,0
106004,33.21,27.86,225,0
108004,33.35,27.83,225,0
110004,33.52,28.01,225,0
112004,33.78,28.04,225,0
114004,33.98,28.22,225,0
116004,34.29,28.28,225,0
118004,34.44,28.28,225,0
120004,34.71,28.37,0,0
122004,34.83,28.53,0,0
124004,35.02,28.58,0,0
126004,35.49,28.67,0,0
128004,35.59,28.85,0,0
130004,36.04,29.05,0,0
132004,36.14,29.05,0,0
134004,36.29,29.19,0,0
136004,36.42,29.31,0,0
138004,36.44,29.35,0,0
140004,36.67,29.53,0,0
142004,36.69,29.76,0,0
144004,36.74,29.63,0,0
146004,36.77,29.81,0,0
148004,36.92,29.92,0,0
150004,37.00,30.11,0,0
152004,37.18,30.11,0,0
154004,36.92,30.27,0,0
156004,36.97,30.43,0,0
158004,36.95,30.55,225,0
160004,36.87,30.82,225,0
162004,36.62,30.96,225,0
164004,36.92,31.03,225,0
166004,38.28,31.08,225,0
168004,37.30,31.17,225,0
170004,36.87,31.27,225,0
172004,36.77,31.34,0,0
174004,36.87,31.55,0,0
176004,36.95,31.59,0,0
178004,36.95,31.83,0,0
180004,37.15,31.81,0,0
182004,37.15,31.95,0,0
184004,37.28,31.95,0,0
186004,37.30,32.06,0,0
188004,37.41,31.99,0,0
190004,37.58,32.04,0,0
192004,37.53,32.18,0,0
194004,37.58,32.30,0,0
196004,37.58,32.25,0,0
198004,37.58,32.37,0,0
200004,37.56,32.47,0,0
202004,37.46,32.59,225,0
204004,37.48,32.59,225,0
206004,37.28,32.61,225,0
208004,37.64,32.70,225,0
210004,39.70,32.80,225,0
212004,37.18,32.85,225,0
214004,37.18,32.75,225,0
216004,37.41,32.85,225,0
218004,37.61,32.85,225,0
220004,37.66,33.01,225,0
222004,37.66,32.99,225,0
224004,37.89,33.13,225,0
226004,37.95,33.09,225,0
228004,38.00,33.21,225,0
230004,38.41,33.28,225,0
232004,39.83,33.23,225,0
234004,37.30,33.23,225,0
236004,38.41,33.35,225,0
238004,39.07,33.45,225,0
240004,38.44,33.54,225,0
242004,38.88,33.71,225,0
244004,40.86,33.76,225,0
246004,40.34,33.88,225,0
248004,39.65,33.85,225,0
250004,39.89,34.00,225,0
252004,39.99,33.95,225,0
254004,40.34,34.19,225,0
256004,40.42,34.24,225,0
258004,40.67,34.27,225,0
260004,40.78,34.41,225,0
262004,40.21,34.27,225,0
264004,40.99,34.49,0,0
266004,40.97,34.56,0,0
268004,41.19,34.68,0,0
270004,41.32,34.85,0,0
272004,41.79,34.80,0,0
274004,42.01,35.05,0,0
276004,42.27,35.22,0,0
278004,42.35,35.12,0,0
280004,42.27,35.22,0,0
282004,42.41,35.22,0,0
284004,42.66,35.42,0,0
286004,42.77,35.49,0,0
288004,42.71,35.79,0,0
290004,42.60,35.77,0,0
292004,42.80,35.99,0,0
294004,42.69,36.17,0,0
296004,42.97,36.27,0,0
298004,43.05,36.37,0,0
300004,42.80,36.44,0,0
302004,43.00,36.64,0,0
304004,42.97,36.72,0,0
306004,43.14,36.62,0,0
308004,43.20,36.49,0,0
310004,43.11,36.59,0,0
312004,42.97,36.72,0,0
314004,42.83,36.69,0,0
316004,42.57,36.90,0,0
318004,42.38,36.97,0,0
320004,42.49,37.20,0,0
322004,42.24,37.13,0,0
324004,42.15,37.07,225,0
326004,42.13,37.23,225,0
328004,42.74,37.30,225,0
330004,41.74,37.30,225,0
332004,41.79,37.43,225,0
334004,41.63,37.41,225,0
336004,41.52,37.51,225,0
338004,41.52,37.56,225,0
340004,41.57,37.66,225,0
342004,41.71,37.61,225,0
344004,41.85,37.71,225,0
346004,41.99,37.82,225,0
348004,42.15,37.84,225,0
350004,42.32,37.97,225,0
352004,42.46,37.97,225,0
354004,42.69,38.02,225,0
356004,42.86,38.10,225,0
358004,43.05,38.05,225,0
360004,43.11,38.13,225,0
362004,43.23,38.18,225,0
364004,43.54,38.28,225,0
366004,43.68,38.33,225,0
368004,43.94,38.52,225,0
370004,44.09,38.54,225,0
372004,44.32,38.70,225,0
374004,44.50,38.72,225,0
376004,44.59,38.83,225,0
378004,44.76,38.72,225,0
380004,44.94,38.72,225,0
380009,44.91,38.78,0,0
384004,45.00,38.67,0,0
386004,45.36,38.65,0,0
388004,45.48,38.65,0,0
390004,45.78,38.59,0,0
392004,45.72,38.88,0,0
394004,45.99,39.14,0,0
396004,46.02,39.09,0,0
398004,45.90,39.22,0,0
400004,46.05,39.12,0,0
402004,46.05,39.28,0,0
404004,45.96,39.30,0,0
406004,46.23,39.49,0,0
408004,46.23,39.62,0,0
410004,46.44,39.59,0,0
412004,46.54,39.59,0,0
414004,46.47,39.67,0,0
416004,46.94,39.73,0,0
418004,46.84,39.83,0,0
420004,46.72,40.07,0,0
422004,46.84,40.13,0,0
424004,46.63,40.40,0,0
426004,46.63,40.16,0,0
428004,46.57,40.34,225,0
430004,46.54,40.45,225,0
432004,46.54,40.51,225,0
434004,46.57,40.72,225,0
436004,46.38,40.80,225,0
438004,46.26,40.89,225,0
440004,46.02,40.83,225,0
442004,45.96,41.10,225,0
444004,46.02,41.24,225,0
446004,46.02,41.35,225,0
448004,46.05,41.30,225,0
450004,46.26,41.27,225,0
452004,46.29,41.30,225,0
454004,46.35,41.35,225,0
456004,46.41,41.46,225,0
458004,46.35,41.49,225,0
460004,46.11,41.52,225,0
462004,46.44,41.43,0,0
464004,46.54,41.57,0,0
466004,46.57,41.74,0,0
468004,46.84,41.65,225,0
470004,47.00,41.82,225,0
472004,47.22,41.82,225,0
474004,47.40,41.87,225,0
476004,47.53,41.74,225,0
478004,47.81,42.07,225,0
480004,47.94,42.21,225,0
480009,47.84,42.27,0,0
484004,48.25,42.10,0,0
486004,48.00,42.15,0,0
488004,48.29,42.13,0,0
490004,48.19,42.10,0,0
492004,48.35,41.93,0,0
494004,48.67,42.10,0,0
496004,48.70,42.35,0,0
498004,48.54,42.32,0,0
500004,48.64,42.41,0,0
502004,48.54,42.66,0,0
504004,48.61,42.60,0,0
506004,48.67,42.63,225,0
508004,48.57,42.57,225,0
510004,48.54,42.69,225,0
512004,48.67,42.77,225,0
514004,48.67,42.91,225,0
516004,48.83,43.00,225,0
518004,48.90,43.14,225,0
520004,48.90,43.17,225,0
522004,48.90,43.34,225,0
524004,48.70,43.37,225,0
526004,48.06,43.43,225,0
528004,48.80,43.28,225,0
530004,48.90,43.31,225,0
532004,48.77,43.43,225,0
534004,49.06,43.54,225,0
536004,49.03,43.57,225,0
538004,49.06,43.66,225,0
540004,49.25,43.77,225,0
542004,49.58,44.03,225,0
544004,49.68,44.06,225,0
546004,50.01,44.15,225,0
548004,50.08,44.32,225,0
550004,50.45,44.29,225,0
552004,50.65,44.32,225,0
554004,50.75,44.41,225,0
556004,50.85,44.53,225,0
558004,51.16,44.59,225,0
560004,51.40,44.76,225,0
560009,51.29,44.73,0,0
564004,51.99,45.15,0,0
566004,52.23,45.06,0,0
568004,52.51,45.18,0,0
570004,52.58,45.33,0,0
572004,52.87,45.18,0,0
574004,52.69,45.33,0,0
576004,53.05,45.18,0,0
578004,53.19,45.30,0,0
580004,53.23,45.30,0,0
582004,53.26,45.51,0,0
584004,53.23,45.63,0,0
586004,53.19,45.81,0,0
588004,53.23,45.75,0,0
590004,53.12,45.90,0,0
592004,53.15,46.02,0,0
594004,52.87,46.17,0,0
596004,52.83,46.32,0,0
598004,52.90,46.54,0,0
600004,52.90,46.54,0,0
602004,52.94,46.38,0,0
604004,53.15,46.26,0,0
606004,53.12,46.20,225,0
608004,53.15,46.02,225,0
610004,52.94,46.26,225,0
612004,52.90,46.44,225,0
614004,52.87,46.51,225,0
616004,52.09,46.63,225,0
618004,52.72,46.75,225,0
620004,52.62,46.78,225,0
622004,52.48,46.97,225,0
624004,52.48,46.72,225,0
626004,52.37,46.84,225,0
628004,52.41,46.97,225,0
630004,52.27,47.09,225,0
632004,52.23,47.18,225,0
634004,52.41,47.18,225,0
634009,52.37,47.28,0,0
638004,52.58,47.22,0,0
640004,52.83,47.22,0,0
642004,53.12,47.15,0,0
644004,52.97,47.31,0,0
646004,53.01,47.40,0,0
648004,53.26,47.37,0,0
650004,53.08,47.53,0,0
652004,53.30,47.53,0,0
654004,53.41,47.65,0,0
656004,53.30,47.43,0,0
658004,52.97,47.75,0,0
660004,52.83,47.68,0,0
662004,52.83,47.46,0,0
664004,52.51,47.28,0,0
666004,52.13,47.12,0,0
668004,52.16,47.06,0,0
670004,52.41,47.28,0,0
672004,52.20,47.15,0,0
674004,52.23,47.46,0,0
676004,52.06,47.68,0,0
678004,52.20,47.84,0,0
680004,52.41,47.94,0,0
682004,52.37,47.97,0,0
684004,52.37,48.03,0,0
686004,52.62,48.10,0,0
688004,52.48,48.16,0,0
690004,52.37,48.00,0,0
692004,52.27,48.06,225,0
694004,52.34,48.03,225,0
696004,52.16,48.00,225,0
698004,52.02,47.94,225,0
700004,52.02,47.87,225,0
702004,52.16,48.06,225,0
704004,52.20,48.13,225,0
706004,52.20,48.16,225,0
708004,52.34,48.22,225,0
710004,52.06,48.13,225,0
712004,52.13,48.32,225,0
714004,52.23,48.45,225,0
716004,52.16,48.51,225,0
718004,52.13,48.61,225,0
720004,52.06,48.70,225,0
722004,51.60,48.77,225,0
724004,52.23,48.93,225,0
726004,52.41,48.77,225,0
728004,52.80,48.70,225,0
730004,53.73,48.64,225,0
732004,53.12,48.54,225,0
734004,53.26,48.67,225,0
736004,53.41,48.61,225,0
738004,53.55,48.57,225,0
740004,53.77,48.57,225,0
742004,54.06,48.61,225,0
744004,54.39,48.64,225,0
744009,54.25,48.61,0,0
748004,54.54,48.74,0,0
750004,55.07,48.96,0,0
752004,55.10,48.57,0,0
754004,55.41,48.80,0,0
756004,55.52,48.64,0,0
758004,55.56,48.93,0,0
760004,55.48,48.93,0,0
762004,55.41,49.06,0,0
764004,55.29,49.06,0,0
766004,55.41,49.19,0,0
768004,55.60,49.25,0,0
770004,55.48,49.39,0,0
772004,55.48,49.48,0,0
774004,55.22,49.55,0,0
776004,55.37,49.61,0,0
778004,55.37,49.61,0,0
780004,55.41,49.32,0,0
782004,55.37,49.42,0,0
784004,55.33,49.35,0,0
786004,55.10,49.42,0,0
786009,55.07,49.42,225,0
790004,53.84,49.58,225,0
792004,55.07,49.75,225,0
794004,53.91,49.71,225,0
796004,54.62,49.65,225,0
798004,54.54,49.61,225,0
800004,54.50,49.65,225,0
802004,54.50,49.58,225,0
804004,54.28,49.55,225,0
806004,54.36,49.42,225,0
806009,54.36,49.45,0,0
810004,54.47,49.48,0,0
812004,54.58,49.48,0,0
814004,54.54,49.45,0,0
816004,54.50,49.55,0,0
818004,54.69,49.65,0,0
820004,54.62,49.81,0,0
822004,54.88,49.85,0,0
824004,54.99,49.68,0,0
826004,55.26,50.04,0,0
828004,55.33,49.91,0,0
830004,55.29,49.95,0,0
832004,55.52,49.85,0,0
834004,55.52,50.01,0,0
836004,55.48,50.18,0,0
838004,55.33,50.21,0,0
840004,55.22,50.48,0,0
842004,55.18,50.55,0,0
844004,55.29,50.55,0,0
846004,55.10,50.41,0,0
846009,55.10,50.38,225,0
850004,54.17,50.41,225,0
852004,54.36,50.38,225,0
854004,55.67,50.48,225,0
856004,54.25,50.28,225,0
858004,53.62,50.21,225,0
860004,54.50,50.24,225,0
862004,54.43,50.35,225,0
862009,54.32,50.45,0,0
866004,54.43,50.45,0,0
868004,54.62,50.51,0,0
870004,54.62,50.48,0,0
872004,54.73,50.21,0,0
874004,55.10,50.21,0,0
876004,54.95,50.14,0,0
878004,55.03,50.31,0,0
880004,54.99,50.38,0,0
882004,54.69,50.24,0,0
884004,54.77,50.38,0,0
886004,54.50,50.41,0,0
888004,54.47,50.38,0,0
890004,54.28,50.38,0,0
892004,54.62,50.48,0,0
894004,54.62,50.48,225,0
896004,54.54,50.41,225,0
896009,54.58,50.58,0,0
900004,54.50,50.58,225,0
902004,54.39,50.61,225,0
904004,54.39,50.72,225,0
906004,54.14,50.72,225,0
908004,53.95,50.78,225,0
908009,53.99,50.68,0,0
912004,53.88,50.92,0,0
914004,53.99,50.95,0,0
916004,53.91,50.72,0,0
918004,53.99,50.78,0,0
920004,54.21,50.65,0,0
922004,54.28,50.61,0,0
924004,54.32,50.55,0,0
926004,54.02,50.65,0,0
926009,54.21,50.75,225,0
930004,55.03,50.65,225,0
932004,53.91,50.55,225,0
934004,53.73,50.51,225,0
936004,53.48,50.51,225,0
938004,53.59,50.58,225,0
940004,53.77,50.61,225,0
942004,53.77,50.51,225,0
944004,53.88,50.72,225,0
946004,53.84,50.72,225,0
948004,53.88,50.99,225,0
950004,53.81,50.95,225,0
952004,53.81,51.16,225,0
954004,54.10,51.05,225,0
956004,54.43,50.99,225,0
958004,54.69,50.99,225,0
960004,54.73,50.88,225,0
962004,54.95,51.02,225,0
962009,55.03,50.92,0,0
966004,55.37,50.92,0,0
968004,55.45,50.85,0,0
970004,55.64,51.05,0,0
# PRBS sequence complete — heaters off.
